시설,관할구청,위치,전화번호
누리봄동물병원,종로구,종로구 사직로12길 2,02-735-7530
광화문동물병원,종로구,서울 종로구 자하문로 35-3 101호,02-722-8275
웰니스클리닉(청계천점),중구,중구 청계천로 400 이마트 청계천점 지하1층,02-2234-7585
웰펫동물병원,중구,서울 중구 동호로 178,02-2256-7582
바우미우동물병원,중구,서울 중구 다산로 175 (신당동),02-2237-3366
남산동물병원,용산구,용산구 후암로 51,02-778-7582
원효종합동물병원,용산구,서울 용산구 새창로 122-2,02-719-7070
아지동물병원,성동구,성동구 독서당로 289,02-6085-7750
바우라움동물병원,성동구,서울 성동구 왕십리로 241 파크애비뉴 엔터식스4층,02-6454-6182
광진동물의료센터,광진구,광진구 광나루로 507,02-457-4545
다온동물병원,광진구,서울 광진구 면목로 142,02-499-7582
로얄 도그앤캣 메디컬센터,광진구,서울 광진구 능동로 49 (자양동),02-468-6612
보람동물병원,광진구,서울 광진구 군자로 84,02-465-7582
서울동물병원,광진구,서울 광진구 천호대로 623-1,02-2038-8253
아이본동물병원,광진구,광진구 자양로 48 1층 104호,02-455-5975
뉴월드동물병원,동대문구,서울 동대문구 한천로 94 1층,02-2212-5233
땅콩동물병원,동대문구,서울 동대문구 답십리로 224-1 1층,02-3394-7075
제연동물병원,동대문구,서울 동대문구 답십리로 77 1층,02-2242-7975
진서동물병원,중랑구,서울 중랑구 신내로10길 7 (신내동),02-432-7530
하스펫탈동물병원,중랑구,"중랑구 면목로 442-1, 1층",02-435-2275
더편한동물병원,성북구,서울 성북구 숭인로 50 108동 상가 2203호,02-982-7975
드림동물병원,성북구,서울 성북구 동소문로 74 (동소문동5가),02-928-7582
미소동물병원,성북구,서울 성북구 종암로 91 (종암동),02-929-1212
태양동물병원,성북구,서울 성북구 돌곶이로 31,02-969-0075
강북동물병원,강북구,서울 강북구 오현로 194 (번동),02-985-7525
애니케어 동물병원,강북구,서울 강북구 삼양로 499,02-996-1007
호동물병원,강북구,서울 강북구 월계로 53,02-988-6543
현대종합동물병원,강북구,서울 강북구 노해로 94,02-999-9110
행복한동물병원,도봉구,서울 도봉구 도봉로 618 108호,02-996-8275
하비동물병원,도봉구,도봉구 노해로65길 14,02-2038-9980
유현동물병원,도봉구,서울 도봉구 방학로 187 105호(한화아파트상가),02-955-2882
도담동물병원,도봉구,서울 도봉구 도봉로 875,02-955-8400
참동물병원,노원구,노원구 동일로 1530 다모아빌딩 108,02-952-0089
중계이오동물병원,노원구,서울 노원구 한글비석로 245 두타빌A 111호,02-939-7579
시마동물병원,노원구,노원구 동일로 1356 주공4단지 상가 402동 2층,02-908-7585
은마로동물병원,노원구,서울 노원구 한글비석로 363,02-931-1575
엔젤동물병원,노원구,서울 노원구 동일로 1104,02-977-0275
닥터스종합동물병원,노원구,서울 노원구 월계로 336 상천빌딩 1층,02-905-7588
로얄동물병원,은평구,서울 은평구 연서로 137 (구산동),02-354-0975
